customer_id,age,monthly_spend,tenure_months,region,contract_type,support_tickets,churn
C001,23,45.5,4,Dublin,Monthly,3,Yes
C002,31,62.0,18,Cork,Annual,1,No
C003,44,85.2,36,Galway,Annual,0,No
C004,,120.0,8,Dublin,Monthly,5,Yes
C005,29,55.0,12,Limerick,Monthly,2,No
C006,52,1500.0,48,Dublin,Annual,0,No
C007,38,77.5,24,Cork,Annual,1,No
C008,27,,6,Galway,Monthly,4,Yes
C009,35,68.0,15,Dublin,Monthly,2,No
C010,60,99.0,60,Cork,Annual,0,No
C011,23,45.5,4,Dublin,Monthly,3,Yes
C012,41,88.0,33,Waterford,Annual,1,No
C013,33,72.0,20,Dublin,Monthly,2,No
C014,26,49.0,5,Galway,Monthly,4,Yes
C015,48,92.0,40,Cork,Annual,0,No
C016,39,81.0,28,Dublin,Annual,1,No
C017,22,42.0,3,Limerick,Monthly,6,Yes
C018,57,110.0,55,Cork,Annual,0,No
C019,34,70.0,16,Dublin,Monthly,2,No
C020,,65.0,14,Galway,Monthly,3,No
